id,title,authors,date,edition,publisher,isbn-13,language,series,age range,pages,lexile
0,1-2-3 Database Techniques,"Dick Anderson, Bill Weil",1989/10/15,,Que,9780880223461,,,,464,
1,10 Minute Guide to Access 2.0,Carl Townsend,1994/03/01,2,"Macmillan Publishing Company, Incorporated",9781567614503,,,,160,
2,10 Minute Guide to Access 97,Faithe Wempen,1996/12/17,1,Que,9780789710222,,10 Minute Guide Series,,214,
3,10 Minute Guide to Access for Windows 95,"Faith Wempen, Faithe Wempen",1995/09/28,,Que,9780789705556,,,,192,
4,10 Minute Guide to Lotus Notes,"Susan Plumley, Kate Miller, Sue Plumley",1996/02/01,,Alpha Books,9781567615821,,10 Minute Guide Series,,193,
5,101 Database Exercises Text-Workbook,"McGraw-Hill, Nancy M. Melesco, Sandra R. McMinnis",1991/09/19,2,Glencoe/McGraw-Hill,9780028007489,,,,150,
6,11th International Workshop on Database and Expert Systems Applications 2000,,2000/01/28,,IEEE Computer Society Press,9780769506807,,,,1194,
7,"18th International Conference on Scientific and Statistical Database Management  : 03-05 July 2006/Vienna, Austria",IEEE Computer Society Staff,2006/07/01,,IEEE Computer Society Press,9780769525907,,,,416,
8,1987 Proceedings of the International Conference on Management of Data,Association For Computing Machinery (Editor),1987/10/28,,Association for Computing Machinery,9780897912365,,,,250,
9,"1999 International Symposium on Database Applications in Non-Traditional Environments  : Proceedings, November 28-30, 1999, Kyoto, Japan","IEEE Computer Society, Yahiko Kambayashi (Editor)",2000/02/28,,IEEE Computer Society Press,9780769504964,,,,350,
10,2000 Sunset Review: Colorado Motorist Insurance Identification Database Program,Colorado Department of Regulatory Agenci (Created by),2013/03/19,,BiblioGov,9781288947096,,,,40,
11,"2002 Sunset Review, Colorado Motorist Insurance Identification Database Program",Colorado Department of Regulatory Agenci (Created by),2013/03/19,,BiblioGov,9781288947072,,,,48,
12,"2005 Supplement O*NET 7.0 Database Revision and 8.0 Proposed Updates to Dictionary of Occupational Titles with O*NET Definitions: Table II, Volumes I-III",Staff of Claitor's Publishing Division,2005/08/28,5,Claitor's Publishing Division,9781598040289,,,,1671,
13,2007 Supplement 0*net 11.0 Database Revision to Dictionary of Occupational Titles with O*NET Definitions: 5th Edition 2v Set,Claitor's Publishing Division (Manufactured by),2007/10/28,5,Claitor's Publishing Division,9781598043167,,,,2631,
14,201 Interview Questions: Sap Bw,"Raj Mani Thiyagarajan, Kevin Wilson (Foreword by)",2006/02/28,,GenieHoldings.COM,9780977725106,,,,156,
15,21 Recipes for Mining Twitter,Matthew A. Russell,2011/03/07,1,"O'Reilly Media, Incorporated",9781449303167,,,,72,
16,25 Recipes for Getting Started with R,Paul Teetor,2011/03/07,1,"O'Reilly Media, Incorporated",9781449303235,,,,62,
17,50 Tips and Tricks for MongoDB Developers,Kristina Chodorow,2011/05/06,1,"O'Reilly Media, Incorporated",9781449304614,,,,68,
18,70-432: Microsoft SQL Server 2008 Implementation and Maintenance Textbook and Lab Manual Set,Microsoft Official Academic Course Staff,2011/02/15,1,Wiley,9780470183762,,,,648,
19,"70-443 and 70-450: Microsoft SQL Server Database Design and Optimization, Package",Microsoft Official Academic Course,2009/12/21,1,Wiley,9780470183748,,,,456,
20,77-424 Microsoft Access 2013,Microsoft Official Academic Course,2013/12/31,1,Wiley,9780470133101,,"Microsoft Official Academic Course Series ,#378",,528,
21,90 Days to the Data Mart,Alan R. Simon,1998/04/17,1,Wiley,9780471251941,,,,352,
22,Database Administration Fundamentals: MTA 98-364,Microsoft Official Academic Course,2011/07/12,1,Wiley,9780470889169,,,,144,
23,A Compilation of Spatial Digital Databases for Selected U.S. Geological Survey Nonfuel Mineral Resource Assessments for Parts of Idaho and Montana: Open-File Report 2007-1101,"United U.S. Department of the Interior (Created by), et al., Mary H. Carlson",2013/02/08,,BiblioGov,9781288735921,,,,38,
24,"A Computational Model of Natural Language Communication: Interpretation, Inference, and Production in Database Semantics",Roland R. Hausser,2010/11/10,1,Springer Berlin Heidelberg,9783642071300,,,,365,
25,A Course in In-Memory Data Management: The Inner Mechanics of In-Memory Databases,Hasso Plattner,2013/05/31,1,Springer Berlin Heidelberg,9783642365232,,,,297,
26,"A Data Base of Nutrient Use, Water Use, Co2 Exchange, and Ethylene Production by Soybeans in a Controlled Environment","R. M. Wheeler, Nasa Technical Reports Server (Ntrs), Et Al",2013/08/02,,BiblioGov,9781287275992,,,,44,
27,A Database for a Changing Economy: Review of the Occupational Information Network  ,"Nancy T. Tippins, Margaret L. Hilton (Editor), Panel to Review the Occupational Information Network (O*NET), National Research Council",2010/05/11,,National Academies Press,9780309147699,,,,232,
28,A decade of Rossi X-ray Timing Explorer Seyfert observations: An RXTE Seyfert spectral database.,Barbara Jo Mattson,2012/05/25,,BiblioLabsII,9781248990193,,,,346,
